infected_unvaccinated,infected_vaccinated,total_vaccinated
0,0,0
0,0,0
0,0,362
0,0,362
0,0,362
0,0,363
0,0,363
0,0,363
1,0,369
1,0,369
1,0,369
1,0,369
1,0,369
0,0,369
0,0,369
0,0,29600
0,0,29602
0,0,29602
0,0,29602
0,0,29602
0,0,29602
1,0,29602
1,0,29602
5,0,29602
4,0,29602
3,0,29604
3,0,29605
6,0,29605
6,0,29605
6,0,29605
5,0,29605
5,0,29605
3,0,29605
2,0,29605
1,0,29605
5,0,29605
5,0,29605
6,0,29605
6,0,30031
12,0,41615
14,0,41615
12,0,41615
11,0,41615
14,0,215247
14,0,215247
23,0,215247
25,0,215270
23,0,215270
23,0,215270
20,0,215270
31,0,215270
43,0,215270
38,0,215270
41,0,215270
41,0,215270
43,0,215270
53,2,215270
66,2,215270
161,3,215270
137,3,215270
157,2,215270
161,2,282212
153,0,282212
131,0,282260
166,1,455333
184,1,455346
315,1,455346
318,1,455346
302,1,455346
304,1,455346
291,1,455346
284,1,455346
301,2,455346
297,2,455346
401,2,455346
374,1,483615
491,1,483615
496,1,483615
490,1,483615
471,1,484643
487,1,484643
473,2,484643
482,3,484643
484,3,484643
464,3,484643
422,2,506809
404,2,511269
374,2,511276
362,2,511276
324,2,511563
308,2,511563
285,2,511563
262,2,511563
254,2,511563
248,2,511563
240,2,511563
250,2,511563
225,3,511563
224,3,511563
207,2,511563
213,2,511563
196,2,511563
189,2,511563
191,2,511563
212,2,512217
200,3,512217
202,3,512217
191,3,512258
190,4,512258
201,4,512258
169,4,512258
163,4,512258
155,4,512258
147,3,512258
143,3,512259
135,3,512259
140,3,512259
145,3,512259
147,3,512259
142,3,512259
130,3,512259
121,3,512259
112,3,512259
108,3,512302
120,2,512302
116,2,513281
111,2,513281
103,2,513281
93,1,514177
91,0,518046
95,0,518046
91,0,518046
87,0,518046
84,0,518046
78,0,518046
73,0,518046
65,0,518046
58,0,518046
56,0,518047
51,0,518047
46,0,518047
45,0,518047
45,0,518047
44,0,518047
52,0,518047
49,0,518047
46,0,519848
44,0,519848
43,0,519848
49,0,519848
42,0,519848
41,0,519848
41,0,519878
40,0,519878
37,0,520993
37,0,520996
64,1,520996
58,1,520996
52,1,520996
55,1,520996
54,1,520996
67,1,520996
67,1,520996
66,1,520996
67,1,520996
73,2,520996
68,2,520996
112,2,561853
125,1,561853
127,1,561853
140,1,561853
198,1,561853
186,1,561853
253,1,561853
254,1,561853
307,1,561853
392,0,561853
379,0,561853
475,0,561853
441,0,562372
405,0,562372
397,1,562372
574,5,562372
690,6,562372
636,6,632111
585,6,641231
641,6,641231
595,5,650109
642,7,650109
631,8,650111
609,6,650350
571,6,650350
589,7,650350
549,7,650350
541,7,650350
544,7,650350
511,7,650350
483,6,650350
460,5,650350
494,5,663481
564,5,663481
558,5,663481
528,6,706984
493,6,706984
483,6,706984
469,6,706984
443,4,706984
476,4,706984
452,4,706984
451,4,706984
442,4,706984
412,4,706998
395,4,706998
365,4,706998
363,4,706998
355,4,707134
348,4,707134
383,4,707134
355,4,707134
339,4,707134
367,4,707141
336,4,707141
334,4,707537
313,4,709729
307,4,709729
288,4,709729
280,4,709871
262,4,709871
281,4,709871
265,3,709871
245,3,709871
236,3,709871
212,2,709871
204,2,709871
197,1,709871
187,1,709871
189,1,711588
209,1,711588
207,1,711588
201,0,711588
200,0,711588
179,0,711588
204,0,711588
225,0,711588
210,0,711588
194,0,711588
178,0,711588
166,0,711588
165,0,711588
150,0,711588
142,0,711588
149,0,711588
137,0,711624
129,0,711624
123,1,711624
113,1,711624
109,1,711624
101,1,711659
97,1,711659
106,1,711659
100,1,711659
105,1,711663
99,1,711663
95,0,714784
114,0,714784
108,0,714784
111,0,714784
107,0,714784
106,0,714886
100,0,714886
96,0,714886
91,0,714886
83,0,714886
80,0,714891
75,0,714891
67,0,714891
64,0,714891
66,0,714891
60,0,714891
55,0,714891
54,0,714891
54,0,714891
53,0,714891
41,0,714891
38,0,714891
35,0,714891
34,0,714891
33,0,714891
27,0,715041
26,0,715041
28,0,715041
27,0,715041
24,0,715332
29,0,715332
48,1,715332
59,1,715332
48,1,715332
46,1,715332
42,1,715332
38,1,732462
44,1,732473
